LATITUDE,LONGITUDE
40.6754000,-73.9974500
40.8307380,-73.9105000
40.6714740,-73.9308800
40.8661540,-73.8615500
40.8892630,-73.9045800
40.8605160,-73.9146000
40.8029700,-73.9638700
40.7173350,-73.8254240
40.6656070,-73.9194000
40.6657330,-73.7555850
40.6518630,-73.8653600
40.7497060,-73.9915700
40.6862070,-73.9741700
40.7157200,-73.8257450
40.6311200,-73.9764000
40.8068200,-73.9174900
40.7652700,-73.9521300
40.6778870,-73.8979600
40.7276600,-74.0031600
40.7282300,-73.8331300
40.6801150,-73.7532400
40.7531280,-73.9936140
40.8618280,-73.8928600
40.8480000,-73.9403000
40.6813960,-73.8800500
40.6760940,-73.8644500
40.8444000,-73.9015900
40.7159900,-73.8720900
,
40.7582050,-73.7774050
40.8031230,-73.9404500
,
40.6524470,-73.9256100
40.8708400,-73.8382400
,
40.6635170,-73.9572140
40.6838300,-73.9322360
40.7454100,-73.8554300
40.7786060,-73.9816300
40.7707180,-73.8788700
40.6945570,-73.9065550
40.7509650,-73.9402700
40.7688900,-73.9821000
40.8057600,-73.9447860
40.6255870,-74.0774800
40.6030700,-74.0166700
40.8203050,-73.8908300
40.8239020,-73.8745100
40.6513600,-73.8697100
40.6794200,-73.9682300
,
40.8303950,-73.9363700
40.7694300,-73.9102500
40.5607450,-73.9110600
40.7470660,-73.9792500
40.6426730,-73.9086900
40.7767300,-73.9792900
40.7192800,-73.9963800
40.6937030,-73.9050500
40.6412240,-74.0209960
40.8291600,-73.8628900
40.7816660,-73.9866940
40.7031300,-73.8167950
40.7267950,-73.7857600
40.8587880,-73.9229100
40.7858660,-73.9509350
40.7376820,-73.8520600
40.6714480,-73.7894300
40.6960030,-73.8996350
40.7621460,-73.8346500
,
40.7542000,-73.8133540
40.7334480,-73.8700560
40.6847420,-73.8608100
40.7598840,-73.9368000
40.7482450,-73.9762950
40.7031140,-73.9215850
40.8491670,-73.9239300
40.7551300,-73.8632500
40.8280940,-73.8520300
40.7765600,-73.9527100
40.6816860,-73.8715740
40.7217900,-73.9998600
40.8136140,-73.9157260
,
40.7688750,-73.9085200
40.7473340,-73.7368100
,
40.7577550,-73.7930400
40.7693180,-73.8666000
40.6156500,-74.1570900
40.6688160,-73.8989500
40.6933400,-73.9668900
40.6826000,-73.7999300
40.6960330,-73.9845300
40.8402060,-73.9101500
40.7628000,-73.7959750
40.8311400,-73.8797760
40.6249850,-73.9631040
40.6745530,-73.9056600
40.8029140,-73.9202900
40.5928460,-73.7961600
40.7349360,-73.9815100
40.8719440,-73.8477700
40.6889420,-73.9239350
40.8564030,-73.9073000
40.7383730,-73.8600800
40.7072200,-74.0074700
40.7133400,-74.0092100
40.7259750,-73.7575000
40.8461530,-73.9323350
,
40.5851330,-73.9545440
,
,
40.7303770,-73.9863800
40.7772520,-73.8979900
40.6891330,-73.8208600
40.6950340,-73.7440100
40.7050200,-73.9078000
40.7523160,-73.8324000
40.7577600,-73.7834000
,
40.6199840,-73.9642700
40.6141930,-73.8972000
40.6766050,-73.9159100
40.6915780,-73.7409900
40.7576560,-73.7822900
40.8593030,-73.8988400
40.7472340,-73.9933700
40.6776700,-73.8033400
,
40.6084330,-74.1554400
40.7505870,-73.9909100
40.6720660,-73.9905240
40.7101500,-73.9630200
40.7259370,-74.0110300
40.6690980,-73.9366600
40.7098100,-73.9917800
40.7687260,-73.8705600
40.7377900,-73.9937400
40.6241800,-73.9704800
40.7548200,-73.8449900
40.7027700,-73.8260800
40.7052880,-73.8894960
40.7368770,-73.9074800
,
40.8314700,-73.9467800
40.8178200,-73.9152760
40.6052170,-74.0083800
40.7448920,-73.7702200
40.7636640,-73.9560900
40.7832450,-73.9447300
40.5775450,-73.9978900
40.7018240,-73.7363000
40.7294730,-73.8654900
40.7094040,-74.0148300
40.7465700,-73.8837500
40.7599100,-73.9588200
40.6477930,-73.8861000
40.7634280,-73.9652200
40.7445220,-73.9869500
40.6220130,-73.9457100
40.6539900,-73.9641500
40.7687900,-73.7747000
40.6307450,-73.9771700
40.7722500,-73.7976500
40.7534750,-73.9925400
40.6339040,-73.9932900
40.6765700,-73.9443100
40.6741070,-73.8484000
40.6305770,-74.0075100
40.6879430,-73.9814100
40.7086200,-73.9584800
40.6766470,-73.9164700
40.7663500,-73.8875600
40.8768600,-73.8797400
,
40.7656500,-73.9035800
,
40.7125850,-73.8808400
40.6980800,-73.9253600
40.8852160,-73.8793700
40.7209780,-73.8383000
40.7467500,-73.8923300
